x="653217.375"	y="247272.7969"
x="653185.625"	y="247644.0"
x="653874.375"	y="244642.2031"
x="648492.3125"	y="243469.9063"
x="650990.8125"	y="250670.2031"
x="652905.0"	y="252010.2031"
x="652058.0"	y="250798.2969"
x="656079.0"	y="251938.0"
x="658501.625"	y="251997.9063"
x="656035.0"	y="251851.2969"
x="658694.0"	y="248761.7969"
x="654232.8125"	y="252279.7031"
x="653062.0"	y="255450.0938"
x="653831.3125"	y="255214.5"
x="650086.3125"	y="254376.5"
x="652265.3125"	y="254762.7031"
x="653294.375"	y="255757.5"
x="654325.1875"	y="257271.2031"
x="653435.8125"	y="254266.0"
x="654644.0625"	y="257972.7344"
x="648785.625"	y="251740.0"
x="658896.3125"	y="248655.5"
x="661386.3125"	y="248827.5"
x="661531.625"	y="249006.2969"
x="663476.625"	y="250615.2031"
x="659178.125"	y="255399.7031"
x="660390.0"	y="253833.0938"
x="660566.6875"	y="253678.5"
x="656159.0"	y="255838.4063"
x="656098.5"	y="255721.5938"
x="657490.8125"	y="254768.5"
x="662093.625"	y="254676.0"
x="663385.0"	y="254750.7031"
x="663550.625"	y="254768.7969"
x="663829.1875"	y="256776.2969"
x="663946.625"	y="255981.2031"
x="663523.8125"	y="255091.5938"
x="662835.125"	y="253414.0"
x="661899.3125"	y="255884.9063"
x="660578.1875"	y="260691.5938"
x="661317.3125"	y="260797.7969"
x="663371.8125"	y="252296.0938"
x="665757.8125"	y="250311.2969"
x="665549.8125"	y="250294.7031"
x="666951.625"	y="261424.2969"
x="665042.6875"	y="263766.1875"
x="667374.3125"	y="263670.8125"
x="667742.6875"	y="263385.8125"
x="667576.875"	y="263516.9063"
x="669537.6875"	y="263683.8125"
x="669848.8125"	y="263459.6875"
x="658933.625"	y="265579.4063"
x="662087.125"	y="264509.3125"
x="666503.8125"	y="267589.9063"
x="666323.3125"	y="269044.6875"
x="667446.3125"	y="267399.6875"
x="665965.0"	y="267466.8125"
x="670860.3125"	y="266474.3125"
x="670994.5"	y="266493.0938"
x="670798.0"	y="266474.3125"
x="670449.6875"	y="267494.4063"
x="669389.125"	y="267893.4063"
x="675367.875"	y="264103.0938"
x="675216.125"	y="264527.0"
x="675769.6875"	y="264196.3125"
x="677304.625"	y="264701.0"
x="675202.3125"	y="259561.5"
x="675054.625"	y="259458.2969"
x="674534.8125"	y="258659.2969"
x="674331.8125"	y="258181.2969"
x="673009.5"	y="257991.7031"
x="675507.3125"	y="256879.4063"
x="678982.625"	y="259244.7969"
x="679026.6875"	y="259232.4063"
x="679485.3125"	y="259569.9063"
x="675297.375"	y="256862.0"
x="671691.8125"	y="255906.5938"
x="672813.8125"	y="255477.7969"
x="671555.1875"	y="254495.9063"
x="671522.6875"	y="255473.2969"
x="671537.6875"	y="257423.7969"
x="671758.8125"	y="257322.5938"
x="670552.0"	y="247360.0938"
x="670251.0"	y="247082.9063"
x="678167.8125"	y="229028.7969"
x="682427.125"	y="231304.7969"
